ITERATION,avg. EXECUTED,avg. WORST,avg. AVG,avg. BEST
0,58.29026975,44.3529615,51.42834138,58.29113441
1,56.86398869,44.19737031,51.39853354,58.04602422
2,33.0806345,26.86285278,47.12418944,56.70073766
3,54.09300569,30.59098485,47.84465712,56.67199005
4,54.99989515,33.38893341,48.55569946,57.04601928
5,56.28368097,36.04478046,49.34094757,57.43044587
6,36.54200161,27.62897593,46.15069462,56.03651506
7,51.596875,29.66712297,46.46360011,55.83614994
8,54.659863,32.05201126,47.28278691,56.53195705
9,55.92642875,34.46876034,48.13631577,57.04725567
10,33.5111551,25.55651548,44.48442015,55.41545626
11,40.33738121,20.80385021,42.82763227,54.72281773
12,54.02513784,24.31474145,44.08072128,56.00416849
13,56.06222834,27.41066433,45.32672677,57.10969633
14,55.73936006,30.06027015,46.21607593,57.17950007
15,55.9810547,32.39803965,47.04446627,57.34918774
16,56.23482806,34.53634897,47.80581009,57.4328385
17,56.31800864,36.32825807,48.49046657,57.63098633
18,55.92443259,37.85740012,49.00657136,57.54998014
19,34.52515312,26.35648809,45.34550156,55.85551416
20,51.09972602,28.32034219,45.65418643,55.93704626
21,52.84727723,29.81804912,46.16195928,56.71556238
22,57.08898383,32.54959444,47.3092332,57.91150291
23,55.25836159,34.44280308,47.79588704,57.40780669
24,56.74888889,36.36558451,48.58254196,57.90730991
25,57.03868868,37.9627509,49.26503457,58.25970453
26,55.27263396,37.75649397,49.49200593,58.29839603
27,55.99864176,39.09626741,49.8724838,58.02871173
28,50.48720133,35.54948988,49.17669683,58.0721716
29,56.0943327,37.25354528,49.69881226,58.13978497
30,55.09666517,38.58634856,49.95152563,57.77470346
31,54.18656512,39.15992771,50.04488366,57.69962302
32,56.50791032,40.50765372,50.58338311,58.25137214
33,56.75989389,41.71687277,51.00420051,58.33003272
34,57.5825792,42.96997671,51.52374953,58.6290037
35,55.70516505,43.29338495,51.58340541,58.24241416
36,26.22952571,19.53573641,46.01142702,57.05432445
37,51.93869598,23.85542093,46.56838368,57.00740531
38,49.47443831,23.53531097,46.42736364,57.32301037
39,57.02790957,27.95915185,47.71918268,58.29802751
40,57.8182526,31.64255451,48.80977634,58.73690207
41,57.68246003,34.71700129,49.66577063,58.72745498
42,57.51637252,37.24995443,50.38031763,58.76168696
43,57.51642388,39.28812034,50.98270619,58.75709584
44,58.06898753,41.05665796,51.62358457,59.1872078
45,57.84089715,42.55434154,52.08305373,59.14659119
46,56.81796202,43.59432584,52.2928886,58.87471406
47,57.14477388,44.46811223,52.57834744,58.93666072
48,51.20610091,42.05510549,51.67120066,58.05869038
49,56.61322052,43.23206894,52.07236152,58.62070498
50,57.49643698,44.27475833,52.47763454,59.06374606
51,58.42276708,45.47399358,52.94859528,59.31171561
52,58.27389299,46.41553101,53.29930484,59.39379777
53,57.39192799,46.72862254,53.43342735,59.29680723
54,51.29373508,42.64978753,52.40276286,58.71817804
55,57.3640932,43.84416566,52.80366177,59.11951918
56,57.96518158,45.14147115,53.19441857,59.2533194
57,58.2319754,46.14141999,53.56431169,59.52802396
58,57.21465706,46.75774417,53.65971368,59.25227448
59,56.48620804,46.83919814,53.64504235,59.12258308
60,58.11772902,47.66374947,53.97063116,59.51014697
61,58.69967248,48.40063088,54.29234411,59.76939136
62,59.10660109,49.09158862,54.62241282,60.0299931
63,58.52062145,49.50540198,54.76994011,59.91469081
64,58.45592106,49.94009979,54.91455793,59.8471908
65,58.61526029,50.34097312,55.08652652,59.93941274
66,58.88386035,50.74357476,55.27971549,60.0437237
67,58.74992555,51.02106093,55.41084228,60.05413392
68,58.94352955,51.28244692,55.56687614,60.1633162
69,58.27859617,51.28150145,55.56867714,60.02533306
70,59.07809672,51.60598625,55.75062056,60.24092241
71,59.11506304,51.83905816,55.88994256,60.3289671
72,59.35027292,52.10459371,56.05382433,60.46507048
73,58.75303392,52.15033327,56.0722228,60.34330781
74,58.88381033,52.22961354,56.13975765,60.38751759
75,59.04051637,52.42959282,56.22934378,60.42030551
76,59.6202407,52.70067556,56.4083505,60.65447949
77,59.69382842,52.93077701,56.55234131,60.76181313
78,59.31448799,53.04102837,56.60078204,60.6547316
79,59.69936174,53.2666335,56.74057366,60.80320135
80,59.19815699,53.15441495,56.7464155,60.78075437
81,57.12913347,51.67150301,56.3677608,60.53729866
82,59.74527828,52.23038102,56.59403355,60.81035666
83,59.04298375,52.18159111,56.60489935,60.82811023
84,59.32796487,52.38105615,56.6773678,60.83051583
85,58.72061984,52.48079377,56.62960162,60.66295668
86,61.13870222,53.1283958,56.93138021,61.25238666
87,61.30780942,53.12142951,56.94246476,61.34899817
88,61.32121909,53.11854262,56.93690895,61.34454975
89,61.2453896,53.11303217,56.91707692,61.27825987
90,61.29092137,53.11052905,56.91960921,61.30615885
91,61.32827344,53.10920074,56.92403213,61.33560945
92,61.33089143,53.10837754,56.92308853,61.33583592
93,61.34210298,53.10787281,56.92434194,61.34556147
94,61.34427733,53.10741526,56.92408511,61.34696603
95,61.34501774,53.10719946,56.92369545,61.34695873
96,61.34595935,53.1069802,56.92349558,61.34738383
97,61.34721741,53.10669289,56.9234623,61.34841043
98,61.35089528,53.10652368,56.92395927,61.35175586
99,61.35276646,53.10637197,56.92416139,61.35365549
100,61.35682318,53.10629234,56.92479493,61.35749653
